NAME,Cases
"Barton County, Kansas",74
"Bourbon County, Kansas",47
"Brown County, Kansas",25
"Butler County, Kansas",144
"Chase County, Kansas",6
"Chautauqua County, Kansas",5
"Cherokee County, Kansas",63
"Cheyenne County, Kansas",2
"Clark County, Kansas",38
"Clay County, Kansas",13
"Cloud County, Kansas",26
"Coffey County, Kansas",62
"Comanche County, Kansas",3
"Cowley County, Kansas",118
"Crawford County, Kansas",360
"Decatur County, Kansas",5
"Dickinson County, Kansas",32
"Doniphan County, Kansas",34
"Douglas County, Kansas",552
"Edwards County, Kansas",9
"Elk County, Kansas",1
"Ellis County, Kansas",99
"Ellsworth County, Kansas",14
"Finney County, Kansas",1652
"Ford County, Kansas",2065
"Franklin County, Kansas",124
"Geary County, Kansas",160
"Gove County, Kansas",2
"Graham County, Kansas",10
"Grant County, Kansas",71
"Gray County, Kansas",44
"Greeley County, Kansas",3
"Greenwood County, Kansas",13
"Hamilton County, Kansas",38
"Harper County, Kansas",6
"Harvey County, Kansas",127
"Haskell County, Kansas",35
"Hodgeman County, Kansas",10
"Jackson County, Kansas",131
"Jefferson County, Kansas",44
"Jewell County, Kansas",5
"Johnson County, Kansas",4158
"Kearny County, Kansas",53
"Kingman County, Kansas",5
"Kiowa County, Kansas",6
"Labette County, Kansas",103
"Lane County, Kansas",5
"Leavenworth County, Kansas",1333
"Lincoln County, Kansas",5
"Linn County, Kansas",25
"Logan County, Kansas",2
"Lyon County, Kansas",558
"McPherson County, Kansas",118
"Marion County, Kansas",36
"Marshall County, Kansas",7
"Meade County, Kansas",37
"Miami County, Kansas",89
"Mitchell County, Kansas",21
"Montgomery County, Kansas",106
"Morris County, Kansas",6
"Morton County, Kansas",7
"Nemaha County, Kansas",41
"Neosho County, Kansas",49
"Ness County, Kansas",5
"Norton County, Kansas",21
"Osage County, Kansas",32
