County,State,variable,estimate,label
Greene, Indiana,B19101_005,350,"$20,000 to $24,999"
Greene, Indiana,B19101_006,344,"$25,000 to $29,999"
Greene, Indiana,B19101_007,525,"$30,000 to $34,999"
Greene, Indiana,B19101_008,491,"$35,000 to $39,999"
Greene, Indiana,B19101_009,429,"$40,000 to $44,999"
Greene, Indiana,B19101_010,445,"$45,000 to $49,999"
Greene, Indiana,B19101_011,814,"$50,000 to $59,999"
Greene, Indiana,B19101_012,1246,"$60,000 to $74,999"
Greene, Indiana,B19101_013,1366,"$75,000 to $99,999"
Greene, Indiana,B19101_014,664,"$100,000 to $124,999"
Greene, Indiana,B19101_015,533,"$125,000 to $149,999"
Greene, Indiana,B19101_016,312,"$150,000 to $199,999"
Greene, Indiana,B19101_017,152,"$200,000 or more"
Hamilton, Indiana,B19101_002,1124,"Less than $10,000"
Hamilton, Indiana,B19101_003,629,"$10,000 to $14,999"
Hamilton, Indiana,B19101_004,1170,"$15,000 to $19,999"
Hamilton, Indiana,B19101_005,1377,"$20,000 to $24,999"
Hamilton, Indiana,B19101_006,1527,"$25,000 to $29,999"
