GEOID,NAME,variable,estimate,moe,Sex,Age,HI_coverage,zip_pop,prop_sex,prop_age,prop_HI_cov,prop_sex_age,prop_sex_HI_cov,prop_age_HI_cov,prop_sex_age_HI_cov
60636,ZCTA5 60636,B27001_047,1953,224,Female,45 to 54 years,Yes,32185,0.5275128165294392,0.12773030915022526,0.8942053751747708,0.06903837191238155,0.489234115271089,0.10737921391952773,0.060680441199316454
60636,ZCTA5 60636,B27001_048,269,80,Female,45 to 54 years,No,32185,0.5275128165294392,0.12773030915022526,0.10579462482522914,0.06903837191238155,0.038278701258350166,0.02035109523069753,0.008357930713065093
60636,ZCTA5 60636,B27001_050,1697,205,Female,55 to 64 years,Yes,32185,0.5275128165294392,0.11747708559888147,0.8942053751747708,0.056951996271555075,0.489234115271089,0.10445859872611465,0.05272642535342551
60636,ZCTA5 60636,B27001_051,136,57,Female,55 to 64 years,No,32185,0.5275128165294392,0.11747708559888147,0.10579462482522914,0.056951996271555075,0.038278701258350166,0.013018486872766816,0.004225570918129563
60636,ZCTA5 60636,B27001_053,1918,180,Female,65 to 74 years,Yes,32185,0.5275128165294392,0.10821811402827404,0.8942053751747708,0.060214385583346276,0.489234115271089,0.10654031381078143,0.05959297809538605
60636,ZCTA5 60636,B27001_054,20,18,Female,65 to 74 years,No,32185,0.5275128165294392,0.10821811402827404,0.10579462482522914,0.060214385583346276,0.038278701258350166,0.0016778002174926208,6.214074879602299e-4
60636,ZCTA5 60636,B27001_056,1711,189,Female,75 years and over,Yes,32185,0.5275128165294392,0.084231784993009165,0.8942053751747708,0.05316141059499767,0.489234115271089,0.084231784993009165,0.05316141059499767
60636,ZCTA5 60636,B27001_057,0,23,Female,75 years and over,No,32185,0.5275128165294392,0.084231784993009165,0.10579462482522914,0.05316141059499767,0.038278701258350166,0,0
60637,ZCTA5 60637,B27001_004,1775,315,Male,Under 6 years,Yes,47213,0.439243428716667,0.0795543600279584,0.9286848961091225,0.03848516298477114,0.40279160400737085,0.07764810539470061,0.03759557748925084
60637,ZCTA5 60637,B27001_005,42,49,Male,Under 6 years,No,47213,0.439243428716667,0.0795543600279584,0.07131510389087752,0.03848516298477114,0.03645182470929617,0.0019062546332577891,8.895854955203016e-4
60637,ZCTA5 60637,B27001_007,4787,448,Male,6 to 18 years,Yes,47213,0.439243428716667,0.20009319467095926,0.9286848961091225,0.10619956367949505,0.40279160400737085,0.19267998220829008,0.10139156588227818
60637,ZCTA5 60637,B27001_008,227,136,Male,6 to 18 years,No,47213,0.439243428716667,0.20009319467095926,0.07131510389087752,0.10619956367949505,0.03645182470929617,0.0074132124626691805,0.0048079977972168685
