NAME,County,State,State_abb,Cases,Deaths,Population,case_fatality,death_rate,case_rate
"Marshall County, Illinois",Marshall County,Illinois,IL,15,0,11438,0,0,131.14180800839307
"Mason County, Illinois",Mason County,Illinois,IL,36,0,13359,0,0,269.4812485964518
"Massac County, Illinois",Massac County,Illinois,IL,24,0,13772,0,0,174.26662794074934
"Menard County, Illinois",Menard County,Illinois,IL,36,0,12196,0,0,295.17874713020666
"Mercer County, Illinois",Mercer County,Illinois,IL,39,0,15437,0,0,252.63976161171215
"Monroe County, Illinois",Monroe County,Illinois,IL,205,13,34637,6.341463414634147,37.5321188324624,591.8526431272916
"Montgomery County, Illinois",Montgomery County,Illinois,IL,112,3,28414,2.6785714285714284,10.558175547265433,394.17188709790946
"Morgan County, Illinois",Morgan County,Illinois,IL,146,5,33658,3.4246575342465753,14.855309287539365,433.77503119614954
"Moultrie County, Illinois",Moultrie County,Illinois,IL,33,0,14501,0,0,227.57051237845667
"Ogle County, Illinois",Ogle County,Illinois,IL,345,5,50643,1.4492753623188406,9.873032798214956,681.2392630768319
"Peoria County, Illinois",Peoria County,Illinois,IL,878,32,179179,3.644646924829157,17.85923573633071,490.0127805155738
"Perry County, Illinois",Perry County,Illinois,IL,73,1,20916,1.36986301369863,4.781028877414419,349.01510805125264
"Piatt County, Illinois",Piatt County,Illinois,IL,30,0,16344,0,0,183.55359765051395
"Pike County, Illinois",Pike County,Illinois,IL,9,0,15561,0,0,57.83689994216309
"Pope County, Illinois",Pope County,Illinois,IL,2,0,4177,0,0,47.881254488867604
"Pulaski County, Illinois",Pulaski County,Illinois,IL,88,0,5335,0,0,1649.4845360824743
"Putnam County, Illinois",Putnam County,Illinois,IL,3,0,5739,0,0,52.27391531625719
